Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
325,"[3206, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 4958, 8123, 11924, 12045, 0]",0.39925739910583796,1.84,1
326,"[3254, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 4958, 8123, 11924, 12045, 0]",0.4102630525208742,1.78,1
334,"[2930, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 4958, 8123, 11924, 12045, 0]",0.2999653373192163,2.41,1
343,"[2930, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 4958, 8123, 9268, 12045, 0]",0.372631864910231,1.97,1
349,"[2930, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 5176, 8123, 9268, 12045, 0]",0.3704756470589329,1.99,1
362,"[2930, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 5176, 8123, 9268, 11738, 0]",0.3694181952946636,1.99,1
372,"[2930, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11738, 0]",0.32577983275410755,2.24,1
374,"[2930, 3388, 3666, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11738, 0]",0.35037433738671925,2.1,1
377,"[2930, 3388, 3666, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11738, 0]",0.35037433738671925,2.1,1
378,"[2930, 3388, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11738, 0]",0.36094186719180676,2.04,1
392,"[2930, 3306, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11738, 0]",0.33328463273159553,2.2,1
399,"[2930, 3306, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11405, 0]",0.3471772485124088,2.12,1
403,"[2930, 3306, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 10898, 0]",0.37512153315752167,1.96,1
407,"[2930, 3306, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 10898, 0]",0.37512153315752167,1.96,1
410,"[2930, 3306, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11444, 0]",0.3504422232474469,2.1,1
417,"[2930, 3306, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11444, 0]",0.3504422232474469,2.1,0
422,"[3181, 3306, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11444, 0]",0.47269114372038507,1.5,1
423,"[3181, 3273, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11444, 0]",0.4621348381289398,1.54,1
437,"[3181, 3273, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11444, 0]",0.4621348381289398,1.54,0
439,"[3181, 3273, 3637, 3786, 4041, 4215, 4442]","[1901, 2471, 6200, 8123, 9268, 11444, 0]",0.4579399406411823,1.56,1
454,"[3181, 3273, 3637, 3786, 4041, 4215, 4442]","[1901, 2471, 2753, 8123, 9268, 11444, 0]",0.26291333446738546,2.67,1
455,"[3181, 3273, 3637, 3786, 4041, 4215, 4442]","[1901, 2471, 2753, 7053, 9268, 11444, 0]",0.23787707706019748,2.87,1
461,"[3224, 3273, 3637, 3786, 4041, 4215, 4442]","[1901, 2471, 2753, 7053, 9268, 11444, 0]",0.24350452428021932,2.83,1
463,"[3224, 3273, 3637, 3786, 4041, 4215, 4442]","[1901, 2471, 2753, 7053, 9268, 10258, 0]",0.2323965259374002,2.92,1
465,"[3224, 3273, 3637, 3786, 3941, 4215, 4442]","[1901, 2471, 2753, 7053, 9268, 10258, 0]",0.23622278551837622,2.89,1
466,"[2909, 3273, 3637, 3786, 3941, 4215, 4442]","[1901, 2471, 2753, 7053, 9268, 10258, 0]",0.1642486824024376,3.61,1
476,"[2816, 3273, 3637, 3786, 3941, 4215, 4442]","[1901, 2471, 2753, 7053, 9268, 10258, 0]",0.13600758271689312,3.99,1
477,"[2816, 3273, 3725, 3786, 3941, 4215, 4442]","[1901, 2471, 2753, 7053, 9268, 10258, 0]",0.14909141049908242,3.81,1
483,"[2816, 3273, 3725, 3786, 3941, 4215, 4442]","[1901, 2471, 2753, 7053, 9268, 11556, 0]",0.1571820752043384,3.7,1
485,"[2816, 3273, 3725, 3786, 3941, 4215, 4442]","[1901, 2471, 2753, 7053, 9736, 11556, 0]",0.1582073957936403,3.69,1
486,"[2816, 3273, 3725, 3786, 3941, 4215, 4442]","[1901, 2471, 2602, 7053, 9736, 11556, 0]",0.15549628362568582,3.72,1
489,"[2816, 3273, 3725, 3786, 3941, 4215, 4442]","[1901, 2471, 2602, 7053, 10649, 11556, 0]",0.17212799255649894,3.52,1
493,"[2816, 3273, 3725, 3839, 3941, 4215, 4442]","[1901, 2471, 2602, 7053, 10649, 11556, 0]",0.15806595410522198,3.69,1
497,"[2816, 3273, 3725, 3839, 3941, 4215, 4442]","[1901, 2471, 2602, 7053, 10649, 11556, 0]",0.15806595410522198,3.69,0
520,"[2816, 3273, 3725, 3839, 3941, 4215, 4442]","[1901, 2471, 2602, 7053, 10649, 15245, 0]",0.17151263259832975,3.53,1
530,"[2816, 3273, 3725, 3839, 3941, 4215, 4442]","[1901, 2471, 2602, 7053, 10649, 15245, 0]",0.17151263259832975,3.53,0
531,"[2816, 3273, 3341, 3839, 3941, 4215, 4442]","[1901, 2471, 2602, 7053, 10649, 15245, 0]",0.07133073797196955,5.28,1
550,"[2816, 3273, 3341, 3839, 3941, 4215, 4442]","[1901, 2060, 2602, 7053, 10649, 15245, 0]",0.06554647462469378,5.45,1
554,"[2816, 3273, 3341, 3839, 3941, 4215, 4442]","[1901, 2060, 2980, 7053, 10649, 15245, 0]",0.06785695811477879,5.38,1
555,"[2816, 3273, 3341, 3839, 3941, 4215, 4442]","[1901, 2060, 2980, 9858, 10649, 15245, 0]",0.06162469296961367,5.57,1
557,"[2872, 3273, 3341, 3839, 3941, 4215, 4442]","[1901, 2060, 2980, 9858, 10649, 15245, 0]",0.06838411990315658,5.37,1
568,"[2872, 3273, 3341, 3730, 3941, 4215, 4442]","[1901, 2060, 2980, 9858, 10649, 15245, 0]",0.10112466452166732,4.58,1
578,"[2872, 3273, 3341, 3730, 3941, 4215, 4442]","[1901, 2060, 4657, 9858, 10649, 15245, 0]",0.2841099106878956,2.52,1
583,"[2872, 3273, 3341, 3730, 3941, 4215, 4442]","[1901, 2060, 3807, 9858, 10649, 15245, 0]",0.1576795406610638,3.69,1
591,"[2872, 2929, 3341, 3730, 3941, 4215, 4442]","[1901, 2060, 3807, 9858, 10649, 15245, 0]",0.1554399934154668,3.72,1
597,"[2872, 2929, 3341, 3730, 3941, 4215, 4442]","[1534, 2060, 3807, 9858, 10649, 15245, 0]",0.1156182978745902,4.31,1
606,"[2872, 2929, 3341, 3730, 3941, 4215, 4442]","[1534, 2060, 2925, 9858, 10649, 15245, 0]",0.08877213474628347,4.84,1
